date,time,home-team,home-score,away-score,away-team,player,team,pts,ast,reb,min,fg,fga,3p,3pa,ft,fta,or,dr,pf,st,to,bs,result
18/10/2017,01:00,Cleveland Cavaliers,102,99,Boston Celtics,James L.,Cleveland Cavaliers,29,9,16,41.2,12,19,1,5,4,4,1,0,3,0,4,2,true
18/10/2017,01:00,Cleveland Cavaliers,102,99,Boston Celtics,Brown J.,Boston Celtics,25,0,6,39.616665,11,23,2,9,1,2,1,2,5,2,3,0,false
18/10/2017,01:00,Cleveland Cavaliers,102,99,Boston Celtics,Irving K.,Boston Celtics,22,10,4,39.35,8,17,4,9,2,2,2,3,4,3,2,0,false
18/10/2017,01:00,Cleveland Cavaliers,102,99,Boston Celtics,Love K.,Cleveland Cavaliers,15,0,11,28.4,4,9,1,4,6,7,3,0,2,0,2,0,true
18/10/2017,01:00,Cleveland Cavaliers,102,99,Boston Celtics,Rose D.,Cleveland Cavaliers,14,2,4,31.25,5,14,1,3,3,4,1,0,2,0,2,0,true
18/10/2017,01:00,Cleveland Cavaliers,102,99,Boston Celtics,Tatum J.,Boston Celtics,14,3,10,36.533333,5,12,1,2,3,3,4,0,4,0,1,0,false
18/10/2017,01:00,Cleveland Cavaliers,102,99,Boston Celtics,Smart M.,Boston Celtics,12,3,9,35.05,5,16,0,4,2,3,0,2,2,2,2,2,false
18/10/2017,01:00,Cleveland Cavaliers,102,99,Boston Celtics,Crowder J.,Cleveland Cavaliers,11,2,5,34.733334,3,10,1,5,4,4,1,2,2,2,1,0,true
18/10/2017,01:00,Cleveland Cavaliers,102,99,Boston Celtics,Smith J.R.,Cleveland Cavaliers,10,1,4,21.916666,4,7,1,3,1,1,0,0,4,0,0,0,true
18/10/2017,01:00,Cleveland Cavaliers,102,99,Boston Celtics,Rozier T.,Boston Celtics,9,2,3,19.533333,2,6,1,3,4,4,0,4,0,4,0,0,false
18/10/2017,01:00,Cleveland Cavaliers,102,99,Boston Celtics,Horford A.,Boston Celtics,9,5,7,32.083332,2,7,0,2,5,7,0,0,2,0,0,1,false
18/10/2017,01:00,Cleveland Cavaliers,102,99,Boston Celtics,Wade D.,Cleveland Cavaliers,8,3,2,28.5,3,10,0,1,2,2,1,0,1,0,4,2,true
18/10/2017,01:00,Cleveland Cavaliers,102,99,Boston Celtics,Green Je.,Cleveland Cavaliers,6,0,0,14.233334,3,8,0,1,0,0,0,0,3,0,1,0,true
