date,time,home-team,home-score,away-score,away-team,pts,ast,reb,min,fg,fga,3p,3pa,ft,fta,or,dr,pf,st,to,bs,result
16/01/2018,01:00,Oklahoma City Thunder,95,88,Sacramento Kings,1.9135198593139648,0.43884241580963135,0.5952517986297607,1.5848884582519531,0.5312120914459229,1.3493914604187012,0.327894926071167,1.0663758516311646,0.5232011079788208,0.6750198602676392,0.2167486548423767,0.19024676084518433,0.16853904724121094,0.19024676084518433,0.1537853479385376,0.01689562201499939,true
16/01/2018,01:00,Cleveland Cavaliers,108,118,Golden State Warriors,-1.7920312881469727,-0.6708203554153442,-0.09967947006225586,-1.7463798522949219,-0.7503411769866943,-1.0118646621704102,-0.2194892168045044,-0.34862184524536133,-0.07185947895050049,0.015796661376953125,0.08384454250335693,-0.18912124633789062,-0.09325432777404785,-0.18912124633789062,-0.16745316982269287,-0.4160623550415039,false
16/01/2018,03:30,Los Angeles Clippers,113,102,Houston Rockets,-0.7250947952270508,0.44711220264434814,-1.3181061744689941,-3.4461288452148438,-0.2729461193084717,-0.307647705078125,-0.7441210746765137,-1.8167285919189453,0.564918041229248,0.7057338953018188,-0.3751733899116516,-0.13777559995651245,-0.09620213508605957,-0.13777559995651245,0.14225399494171143,-0.04936221241950989,true
16/01/2018,02:00,Utah Jazz,94,109,Indiana Pacers,0.46456432342529297,0.20708858966827393,0.1594388484954834,2.649557113647461,0.01958012580871582,0.5748944282531738,0.2247113585472107,0.7775121927261353,0.20069241523742676,0.17958903312683105,-0.07363933324813843,0.11599624156951904,0.36525917053222656,0.11599624156951904,0.19080209732055664,0.10534006357192993,false
13/02/2018,00:00,Philadelphia 76ers,108,92,New York Knicks,2.0243797302246094,-0.22406792640686035,0.9418554306030273,2.6081390380859375,0.5813112258911133,0.9334416389465332,0.46089422702789307,0.8157012462615967,0.39903151988983154,0.5769507884979248,0.30038172006607056,0.23835819959640503,0.45780885219573975,0.23835819959640503,0.4126732349395752,0.06729933619499207,false
13/02/2018,00:30,Brooklyn Nets,101,114,Los Angeles Clippers,-2.4077043533325195,-0.31870579719543457,-0.5181388854980469,-4.208732604980469,-1.0472486019134521,-1.8927803039550781,0.07745873928070068,0.07666683197021484,-0.39066576957702637,-0.5928623676300049,0.01765674352645874,-0.20465773344039917,-0.06806707382202148,-0.20465773344039917,0.024491429328918457,-0.03674390912055969,false
13/02/2018,02:00,Utah Jazz,101,99,San Antonio Spurs,0.5365595817565918,-0.5585557222366333,0.2055668830871582,-0.6425323486328125,0.12674355506896973,-0.12029838562011719,0.03365427255630493,-0.06868875026702881,0.24941813945770264,0.28772974014282227,0.19043636322021484,0.026427388191223145,0.25424230098724365,0.026427388191223145,-0.10370093584060669,0.11995545029640198,true
13/02/2018,01:00,Chicago Bulls,105,101,Orlando Magic,2.36946439743042,0.4258131980895996,1.3605194091796875,4.682744979858398,0.8920671939849854,2.338423252105713,0.32720428705215454,0.9038562774658203,0.25812649726867676,0.32380664348602295,0.18284183740615845,0.14965319633483887,0.14325487613677979,0.14965319633483887,0.11889529228210449,-0.03582450747489929,true
13/02/2018,03:30,Golden State Warriors,129,83,Phoenix Suns,2.0456161499023438,0.523705005645752,-0.5264005661010742,-0.9260139465332031,0.7150723934173584,0.6505160331726074,0.34926921129226685,0.5577528476715088,0.26620256900787354,0.04092717170715332,-0.3391205072402954,-0.018580913543701172,-0.3719465732574463,-0.018580913543701172,0.07473957538604736,0.1292913854122162,true
13/02/2018,00:00,Detroit Pistons,103,118,New Orleans Pelicans,-0.5807600021362305,0.3614884614944458,0.23127245903015137,0.04861259460449219,-0.1566610336303711,-0.0029401779174804688,-0.16212952136993408,-0.20795536041259766,-0.1053088903427124,-0.06765151023864746,0.1595233678817749,0.029475390911102295,0.4077317714691162,0.029475390911102295,0.15941035747528076,-0.2744925022125244,false
02/12/2017,18:00,Boston Celtics,116,111,Phoenix Suns,1.4830503463745117,0.3744544982910156,0.8095388412475586,2.793455123901367,0.3835139274597168,0.875147819519043,0.3648384213447571,0.8212873935699463,0.35118353366851807,0.4433708190917969,0.06368374824523926,0.19905292987823486,0.013352274894714355,0.19905292987823486,0.01690804958343506,0.036919623613357544,true
02/12/2017,19:00,Dallas Mavericks,108,82,Los Angeles Clippers,1.6097054481506348,0.6773536205291748,0.3538510799407959,3.5336380004882812,0.5508341789245605,1.954141616821289,0.34217238426208496,1.0841503143310547,0.1658647060394287,0.17648589611053467,-0.20484626293182373,0.01860332489013672,0.07510292530059814,0.01860332489013672,0.1298653483390808,-0.07904782891273499,true
02/12/2017,20:00,Brooklyn Nets,102,114,Atlanta Hawks,1.1831836700439453,-0.2732495069503784,1.413109540939331,1.7604751586914062,0.3993797302246094,0.5280938148498535,0.0017920732498168945,0.17453598976135254,0.38263237476348877,0.6186038255691528,0.561986118555069,-0.10376650094985962,0.4881058931350708,-0.10376650094985962,-0.048048973083496094,0.1568700075149536,false
02/12/2017,00:00,Orlando Magic,112,133,Golden State Warriors,-1.0842790603637695,0.27205371856689453,-0.14614248275756836,0.4656944274902344,-0.3928370475769043,-0.3663773536682129,-0.23813652992248535,-0.5139527320861816,-0.06046760082244873,0.15354132652282715,0.019181430339813232,-0.07251423597335815,-0.0901561975479126,-0.07251423597335815,0.016794919967651367,-0.35174620151519775,false
02/12/2017,01:00,Memphis Grizzlies,79,95,San Antonio Spurs,-0.797487735748291,-0.6287368535995483,-0.22900629043579102,-0.2591743469238281,-0.3760390281677246,-0.7721409797668457,0.013173401355743408,0.23058342933654785,-0.05858349800109863,-0.048316240310668945,-0.12322258949279785,-0.010261774063110352,0.4717627763748169,-0.010261774063110352,-0.06656551361083984,-0.011640220880508423,false
