min,date,pf,home-score,fg,reb,or,time,away-score,pts,ast,3pa,fga,away-team,3p,team,st,ft,dr,bs,player,fta,home-team,to
41.2,18.10.2017,3,102,12,16,1,01:00,99,29,9,5,19,Boston Celtics,1,CLE,0,4,0,2,James L.,4,Cleveland Cavaliers,4
39.616665,18.10.2017,5,102,11,6,1,01:00,99,25,0,9,23,Boston Celtics,2,BOS,2,1,2,0,Brown J.,2,Cleveland Cavaliers,3
39.35,18.10.2017,4,102,8,4,2,01:00,99,22,10,9,17,Boston Celtics,4,BOS,3,2,3,0,Irving K.,2,Cleveland Cavaliers,2
28.4,18.10.2017,2,102,4,11,3,01:00,99,15,0,4,9,Boston Celtics,1,CLE,0,6,0,0,Love K.,7,Cleveland Cavaliers,2
31.25,18.10.2017,2,102,5,4,1,01:00,99,14,2,3,14,Boston Celtics,1,CLE,0,3,0,0,Rose D.,4,Cleveland Cavaliers,2
36.533333,18.10.2017,4,102,5,10,4,01:00,99,14,3,2,12,Boston Celtics,1,BOS,0,3,0,0,Tatum J.,3,Cleveland Cavaliers,1
35.05,18.10.2017,2,102,5,9,0,01:00,99,12,3,4,16,Boston Celtics,0,BOS,2,2,2,2,Smart M.,3,Cleveland Cavaliers,2
34.733334,18.10.2017,2,102,3,5,1,01:00,99,11,2,5,10,Boston Celtics,1,CLE,2,4,2,0,Crowder J.,4,Cleveland Cavaliers,1
21.916666,18.10.2017,4,102,4,4,0,01:00,99,10,1,3,7,Boston Celtics,1,CLE,0,1,0,0,Smith J.R.,1,Cleveland Cavaliers,0
19.533333,18.10.2017,0,102,2,3,0,01:00,99,9,2,3,6,Boston Celtics,1,BOS,4,4,4,0,Rozier T.,4,Cleveland Cavaliers,0
32.083332,18.10.2017,2,102,2,7,0,01:00,99,9,5,2,7,Boston Celtics,0,BOS,0,5,0,1,Horford A.,7,Cleveland Cavaliers,0
28.5,18.10.2017,1,102,3,2,1,01:00,99,8,3,1,10,Boston Celtics,0,CLE,0,2,0,2,Wade D.,2,Cleveland Cavaliers,4
14.233334,18.10.2017,3,102,3,0,0,01:00,99,6,0,1,8,Boston Celtics,0,CLE,0,0,0,0,Green Je.,0,Cleveland Cavaliers,1
19.116667,18.10.2017,5,102,2,5,2,01:00,99,6,1,0,2,Boston Celtics,0,BOS,0,2,0,1,Baynes A.,4,Cleveland Cavaliers,2
19.6,18.10.2017,3,102,2,6,1,01:00,99,5,2,0,3,Boston Celtics,0,CLE,0,1,0,0,Thompson T.,3,Cleveland Cavaliers,2
12.85,18.10.2017,3,102,2,2,1,01:00,99,4,0,0,3,Boston Celtics,0,CLE,1,0,1,0,Shumpert I.,0,Cleveland Cavaliers,1
5.25,18.10.2017,1,102,1,1,0,01:00,99,2,0,1,2,Boston Celtics,0,BOS,0,0,0,0,Hayward G.,0,Cleveland Cavaliers,0
7.3166666,18.10.2017,2,102,0,0,0,01:00,99,0,0,0,0,Boston Celtics,0,CLE,0,0,0,0,Korver K.,0,Cleveland Cavaliers,0
8.65,18.10.2017,1,102,0,0,0,01:00,99,0,0,1,2,Boston Celtics,0,BOS,0,0,0,0,Ojeleye S.,0,Cleveland Cavaliers,0
4.8166666,18.10.2017,0,102,0,1,0,01:00,99,0,0,1,1,Boston Celtics,0,BOS,0,0,0,0,Larkin S.,0,Cleveland Cavaliers,0
36.4,18.10.2017,2,121,10,6,1,03:30,122,27,10,9,23,Houston Rockets,4,HOU,1,3,1,0,Harden J.,4,Golden State Warriors,3
29.383333,18.10.2017,1,121,9,1,0,03:30,122,24,1,6,16,Houston Rockets,0,HOU,1,6,1,2,Gordon E.,8,Golden State Warriors,2
26.166666,18.10.2017,4,121,8,2,1,03:30,122,23,0,7,9,Houston Rockets,6,GSW,0,1,0,0,Young N.,1,Golden State Warriors,1
29.55,18.10.2017,4,121,8,5,0,03:30,122,22,4,9,18,Houston Rockets,3,GSW,1,3,1,0,Curry S.,3,Golden State Warriors,2
37.633335,18.10.2017,4,121,7,5,1,03:30,122,20,7,5,15,Houston Rockets,2,GSW,0,4,0,4,Durant K.,5,Golden State Warriors,8
28.666666,18.10.2017,3,121,6,6,1,03:30,122,20,0,6,9,Houston Rockets,4,HOU,1,4,1,0,Tucker P. J.,6,Golden State Warriors,1
38.166668,18.10.2017,0,121,6,6,0,03:30,122,16,3,7,14,Houston Rockets,4,GSW,2,0,2,2,Thompson K.,0,Golden State Warriors,1
23.383333,18.10.2017,1,121,6,4,2,03:30,122,14,0,3,9,Houston Rockets,2,HOU,0,0,0,0,Mbah a Moute L.,0,Golden State Warriors,2
33.283333,18.10.2017,3,121,5,8,3,03:30,122,13,1,8,12,Houston Rockets,3,HOU,1,0,1,1,Anderson R.,0,Golden State Warriors,0
18.166666,18.10.2017,0,121,6,4,1,03:30,122,12,0,0,10,Houston Rockets,0,HOU,1,0,1,1,Capela C.,1,Golden State Warriors,2
27.65,18.10.2017,3,121,2,11,1,03:30,122,9,13,2,6,Houston Rockets,1,GSW,0,4,0,0,Green D.,4,Golden State Warriors,2
11.766666,18.10.2017,4,121,4,1,0,03:30,122,8,1,0,5,Houston Rockets,0,GSW,0,0,0,0,Bell J.,0,Golden State Warriors,1
37.65,18.10.2017,2,121,3,6,1,03:30,122,8,5,5,9,Houston Rockets,2,HOU,2,0,2,0,Ariza T.,0,Golden State Warriors,1
10.233334,18.10.2017,1,121,2,3,0,03:30,122,6,0,0,2,Houston Rockets,0,GSW,0,2,0,1,Pachulia Z.,2,Golden State Warriors,0
18.533333,18.10.2017,2,121,2,1,1,03:30,122,6,5,0,5,Houston Rockets,0,GSW,0,2,0,0,Livingston S.,2,Golden State Warriors,1
9.416667,18.10.2017,0,121,2,1,1,03:30,122,4,0,0,3,Houston Rockets,0,GSW,0,0,0,1,West D.,0,Golden State Warriors,1
18.65,18.10.2017,1,121,2,3,1,03:30,122,4,1,0,3,Houston Rockets,0,GSW,1,0,1,1,McCaw P.,0,Golden State Warriors,0
