date,time,home-team,home-score,away-score,away-team,pts,ast,reb,min,fg,fga,3p,3pa,ft,fta,or,dr,pf,st,to,bs,result
15/03/2016,23:30,Brooklyn Nets,131,114,Philadelphia 76ers,1.27151002643925,-0.2932137754726738,0.25537567363463953,1.2649500664198658,0.5536801666233577,0.8673197718202443,-0.06582064092224305,-0.16434033777976054,0.22997021968697173,0.20906826585246774,0.1378069798059981,-0.04821310363214332,-0.05877017969301357,-0.04821310363214332,-0.12660285584946052,-0.026495744081971806,true
15/03/2016,23:00,Orlando Magic,116,110,Denver Nuggets,0.8488483318095215,0.16125017428090116,-0.32070444760226025,1.0622738688254891,0.2038866339106873,0.5084824809856041,0.2779851755815603,0.6139697057756865,0.1630897597048513,0.14899809162028665,-0.20126929295177753,0.03815346837138167,-0.022422851044785697,0.03815346837138167,-0.008857901817269198,-0.06035918073546742,true
15/03/2016,02:00,Phoenix Suns,107,104,Minnesota Timberwolves,-1.2520301333061035,-0.41083387046395337,-0.36047780703041266,-1.7736674795742182,-0.540042500566325,-0.9295911955739387,0.30446563783232306,0.7743111032233716,-0.4764110026810733,-0.6059882511968864,-0.19147335034451518,-0.040995355564646285,-0.05760023186703522,-0.040995355564646285,-0.1233992101561654,-0.18215188713408365,true
15/03/2016,23:00,Indiana Pacers,103,98,Boston Celtics,1.163067156973531,-0.021473957315975456,0.10389866985878982,1.594801835551877,0.38344781767250824,0.8255796589557534,0.05818086674560985,0.052665417937091785,0.3382918544675262,0.4517261896346383,-0.149526484079477,0.10061571635819411,-0.012205220300165465,0.10061571635819411,0.15941150875162502,0.09080065032404172,true
15/03/2016,02:30,Golden State Warriors,125,107,New Orleans Pelicans,0.661420176569548,0.6974742389521609,-0.13478642054301515,0.7362403901874828,0.2171999321147804,0.24365851499202762,0.40727704730710484,0.7751733967306569,-0.18025657332189138,-0.26207440246013136,-0.10339693080084567,0.055323777569769306,0.08687167677469843,0.055323777569769306,0.21475950420860712,-0.1159647165316296,true
15/03/2016,00:00,Houston Rockets,130,81,Memphis Grizzlies,4.141314050573511,0.45550275390058514,1.1233954010342577,4.111357781630131,1.3188982179496593,2.7759363810958555,0.45195973901695363,1.1439239287443608,1.05248337838343,1.5006772011273126,0.11398470269584349,0.11732283990549663,0.44643066044227964,0.11732283990549663,0.6225007483250597,0.05279503651454687,true
15/03/2016,02:30,Utah Jazz,94,85,Cleveland Cavaliers,-3.622360757648525,-0.8493342822541639,-0.9007685240114696,-5.622868918236094,-1.1874158632913443,-2.6556282612863775,-0.5534507067827164,-1.412274656861856,-0.6940782715375172,-0.8089183456562568,-0.07744272592688639,-0.16118776260179246,-0.35714262694400767,-0.16118776260179246,-0.3569872473630843,0.09303685225904929,true
15/03/2016,00:00,Washington Wizards,124,81,Detroit Pistons,0.23027193257524115,0.5087981129742325,-0.376326884601518,0.32802452424480677,0.09206290261220262,0.05225429007060978,-0.07558462277144218,-0.2920171041632449,0.11776792161632366,0.015092227061683783,-0.19691372881879354,0.128443227204611,0.05008045460492849,0.128443227204611,0.18281850289921242,0.007159061770166897,true
15/03/2016,00:00,Oklahoma City Thunder,128,94,Portland Trail Blazers,2.5826124523516967,0.47854620803288217,1.0686904671876332,3.4327087658555566,0.9199313079145242,1.7751293050180204,0.09935904790076266,0.29200485768287976,0.6470550395308484,0.7371936182528218,0.28959456375710124,0.12873054771004622,0.29367002569054845,0.12873054771004622,0.3889368885715552,0.20815544456781057,true
05/12/2014,01:00,New York Knicks,87,90,Cleveland Cavaliers,-2.8390670281500476,-0.4512090218232838,-0.8279117091640531,-3.7338614295642394,-0.8306080200502648,-1.5607080042840948,-0.08996609402484601,-0.334260476292898,-1.0878849438100666,-1.3716462631770192,-0.10986148733547862,-0.1877297671745239,0.10692022076565255,-0.1877297671745239,-0.1876531019749501,-0.1927771781255715,false
05/12/2014,03:00,Portland Trail Blazers,88,82,Indiana Pacers,2.1250246699996618,0.9403129657487379,0.8263795241485092,3.121972850193565,0.7409112037696302,1.1792036817282145,0.3790458056735212,0.9104468404889583,0.2641566018125514,0.18906981246897847,0.1513350458084295,0.1560416026646742,-0.1493376605577421,0.1560416026646742,0.007296830072786031,0.09544630308531055,true
05/12/2014,03:30,Golden State Warriors,112,85,New Orleans Pelicans,0.8954245180528941,0.627603754470861,-0.24645734835989908,2.227255753607558,0.19730985370944465,0.20788153255682662,0.44637495260421395,0.9149439158667212,0.054429956885097,-0.14352201490885563,-0.3738104348080702,0.040157951419427684,0.15713670460023166,0.040157951419427684,0.4061158326850973,-0.07133252374523774,true
10/01/2015,01:30,Milwaukee Bucks,98,84,Minnesota Timberwolves,0.44412257390512355,0.6541735880701658,-0.10517026939890606,0.899123102438681,0.06724219801791742,0.051169574631206416,0.2518393440713803,0.6483396282266591,0.05570229323973819,-0.12471904702361014,-0.33310049868767866,0.05397439301785523,0.22153519867432725,0.05397439301785523,0.30998951771735506,-0.04524074855044441,true
10/01/2015,18:00,New York Knicks,82,110,Charlotte Hornets,0.39019634133153325,0.4019740127614462,-0.11207073518076083,2.0693300601802793,0.14829819266920174,0.3264839085566926,0.2684075441469627,0.39896101953313456,-0.17480762895835433,-0.2952042158048154,-0.05059587475132771,0.15826071787861246,0.29337502659864056,0.15826071787861246,0.19704912241197525,-0.1528684803008503,false
10/01/2015,03:00,Sacramento Kings,108,118,Denver Nuggets,2.8336800900981043,0.05120588783511093,1.109375400939057,4.919617894498847,0.9415369440559571,1.783488071998681,0.0991061495086763,0.12130525381001966,0.8515002853814992,0.940749481637946,0.15752232879705685,0.132092565566091,0.5195856912488033,0.132092565566091,0.43238689958997145,0.17042655967947146,false
10/01/2015,00:30,Brooklyn Nets,88,90,Philadelphia 76ers,-0.9540442040901036,-0.5091442378037221,-0.8181407251107782,-2.9741645773016145,-0.25989774160823886,-1.054588341249679,-0.004184855488547468,-0.16311582882100173,-0.4300639303162942,-0.7674155194948737,-0.3134977571484796,-0.3755223315450657,-0.3766996625621719,-0.3755223315450657,-0.6134320123946002,-0.1556824174167471,false
10/01/2015,20:30,Los Angeles Clippers,120,100,Dallas Mavericks,0.7194096304581832,-0.09223199970187057,0.17975444695186038,1.3432719369743928,0.15704714114126528,0.16067698848377532,0.1172298432810358,0.1829697364052476,0.28808559656575783,0.3678904544152519,0.029106552275942166,-0.012524742826877433,0.22281788783596923,-0.012524742826877433,-0.035807159739771666,0.10770217937484375,true
10/01/2015,01:30,San Antonio Spurs,100,95,Phoenix Suns,-2.3802795504226406,-0.1280808531219666,-0.6345055236451662,-3.142690832481943,-0.8045629555334064,-1.6979405748771246,-0.26584869615082696,-0.7751258289106557,-0.5053050943801962,-0.5320337255897272,-0.1414474061252795,-0.2731870994934708,-0.5629274230546106,-0.2731870994934708,-0.2555524030908307,0.06520454636641337,true
10/01/2015,00:00,Indiana Pacers,107,103,Boston Celtics,2.303713294857963,0.8153765590711426,1.2255995688374517,6.664769326743496,0.7639986575027269,2.257729785319847,0.12884793472013828,0.38977601983199883,0.6468681691563504,0.8140330877055342,0.16192668228268736,0.03936023775641617,0.3610516935489161,0.03936023775641617,0.46953702047315127,0.1088287553990695,true
10/01/2015,00:30,Detroit Pistons,103,106,Atlanta Hawks,-0.743153290242871,-0.6094796306303802,0.0867031105810252,-0.9633482504825643,-0.2293600771635642,0.08529313348057155,-0.015436814815866562,0.10453472946559916,-0.2689963582377868,-0.21495039476678368,0.29350043347855614,-0.1880107931188767,0.05650791640907982,-0.1880107931188767,-0.14031557238837333,-0.12633362567987216,false
10/01/2015,03:30,Golden State Warriors,112,94,Cleveland Cavaliers,2.511705462568343,0.6545397747786388,0.9005378374158748,3.5124249556476546,1.0660714671855644,1.7369936384380473,0.3107974482129211,0.5853187704912814,0.06876500326929857,0.05760238261746653,0.06794510396285769,0.3397731035899911,0.17850660233274573,0.3397731035899911,0.3696704423273681,0.3052129466645004,true
10/01/2015,03:30,Los Angeles Lakers,101,84,Orlando Magic,-0.7049587871556087,-0.24138308162299138,0.08008698381764745,-1.1630735437514268,-0.32075864667598575,-0.6954412864644359,-0.10091343136650083,-0.23338584660123307,0.037472055763592804,0.05606577758358844,0.3084431321533072,-0.07283434281822582,0.15332461264444786,-0.07283434281822582,-0.30408241658564295,0.04788654242963103,true
10/01/2015,01:00,Washington Wizards,102,86,Chicago Bulls,-0.07226916718747756,0.33737798797063046,-0.4343580749342202,0.6068459008025897,0.1625529754656294,0.1190151151587946,0.09090871508588633,0.05173052870899908,-0.4882836773700059,-0.5491736657372679,-0.30884647620756356,0.1858740623574009,0.17009897188526457,0.1858740623574009,0.06064399265557008,-0.18003219355615963,true
10/01/2015,01:00,Oklahoma City Thunder,99,94,Utah Jazz,3.391309130685759,0.4396387047977026,0.7990444731953925,2.833108653303082,1.1952136508105005,2.6095229956714014,0.2433417585480248,0.6192898725023221,0.7575398439235108,0.7908913706120788,0.19546633331017527,0.13302714757518908,0.3865511833681725,0.13302714757518908,0.4330135060977349,0.06588771846781682,true
10/01/2015,01:00,New Orleans Pelicans,106,95,Memphis Grizzlies,0.25499732292210897,-0.3739000751838093,0.2965359916432395,0.7612671741370747,0.1278964645187477,0.3862298531188886,0.10234505755559281,0.5017998414533165,-0.10314063750693903,-0.013241500089003821,0.1519878682155673,-0.03147361896858103,0.08529351962920617,-0.03147361896858103,-0.047335991310071046,0.202048203304661,true
09/01/2015,01:00,New York Knicks,96,120,Houston Rockets,-4.841893142822081,-0.6554302126242253,-2.013800336782883,-7.662623155635568,-1.6260508251178187,-3.477212077729309,-0.4919644880468826,-1.5473858620088963,-1.0978270177904497,-1.689269793706816,-0.5790317394023884,-0.40394987390438114,-0.8253950544032522,-0.40394987390438114,-0.8570124630530491,-0.3160042282773446,false
09/01/2015,00:30,Toronto Raptors,95,103,Charlotte Hornets,2.8904968037743615,0.543274423061642,0.985963236835981,4.795270314644696,1.0700599329713403,1.913823115413555,0.3897656968207024,0.917499596991195,0.36061121875950075,0.410347038145068,0.28738650445489866,0.1860817077494678,0.5368020155066298,0.1860817077494678,0.26733115194908463,0.03560408275369201,false
09/01/2015,03:30,Portland Trail Blazers,99,83,Miami Heat,-0.7304735737101735,0.02117522442208397,0.12109658298114656,-2.602785509761958,-0.22342800105245342,-0.16599952468318158,0.14233509517485932,0.31046972002880224,-0.4259527725928365,-0.7233328001813879,-0.011804626384051886,-0.1656608274780611,-0.2947856699458655,-0.1656608274780611,-0.19926008765900738,-0.037991948830358224,true
30/10/2014,01:00,Denver Nuggets,89,79,Detroit Pistons,0.012450243800396166,-0.23377042034531614,-0.053501289622445825,-1.773875907752199,-0.0165008153574564,-0.8304695857046074,-0.20419825699579475,-0.4992788052589955,0.24964975870224215,0.4612049663028315,0.1400744238259688,-0.07392114399118188,-0.5419843371956099,-0.07392114399118188,0.14899846318017085,0.32500548798318935,true
30/10/2014,23:00,Orlando Magic,98,105,Washington Wizards,-1.361820615644728,-0.9634968560850712,1.682939848558307,-1.2972639762741096,-0.5539945620962081,0.40558666447852243,-0.035952240406281644,-0.49142841056878794,-0.21787925776257833,-0.6406453148935065,0.8080559270492574,-0.25747681509528053,0.11608374293243795,-0.25747681509528053,0.1897108122958211,0.33420364826452237,false
30/10/2014,00:00,Memphis Grizzlies,105,101,Minnesota Timberwolves,15.04353452711463,3.7921284213528956,4.401564760506777,30.005855173769366,5.717768873125597,13.27830982938721,1.3833072696789426,4.069906328786519,2.224690368525188,2.9112894187522897,1.1551683770783507,0.9123190968256145,2.1097465434464246,0.9123190968256145,2.0985584800532253,0.24004612114559104,false
30/10/2014,02:00,Phoenix Suns,119,99,Los Angeles Lakers,-0.14418921425567355,0.42205650014570417,-1.1380535250677353,-6.28525084473017,-0.05792641155004796,-0.9270349336180246,0.4123925647136822,1.165418928685042,-0.44072860565306016,-0.2606563623768947,-0.3680352999553995,-0.157020940732089,-1.4922522632534567,-0.157020940732089,0.15193386699505318,-0.07583485854555802,true
30/10/2014,02:00,Sacramento Kings,77,95,Golden State Warriors,5.704545484699157,1.0170816270621414,2.136435883625571,14.551039297868304,1.9488636210185302,4.642153702903999,1.1534091207527755,2.8579908058293118,0.6534090623046762,0.7556818110152536,0.3465909055799109,0.6136363730541753,1.0625723201877313,0.6136363730541753,0.5568181859488149,0.5340909349485287,true
30/10/2014,02:30,Portland Trail Blazers,106,89,Oklahoma City Thunder,4.333611854899188,0.7642450317003057,3.498242959266684,5.21085518070802,1.4987105098781863,3.267301979906958,0.2517856998043373,0.9724022505445127,1.084405018949716,1.5137477108032154,1.0031977951261934,0.558389401318008,0.8064351678271933,0.558389401318008,0.40030680546848696,0.2786798941562856,true
30/10/2014,01:00,Utah Jazz,93,104,Houston Rockets,10.223677464104727,2.2202273566133224,3.9019680491459496,20.909115188295498,3.105891848920498,6.921533654411081,1.3228492171376878,2.6709890758150365,2.6890445974118813,3.9129809555161374,1.1822294110327973,0.6695443360133441,2.400997688479292,0.6695443360133441,1.0996474102186817,0.2745018596593782,true
13/05/2016,01:30,Oklahoma City Thunder,113,99,San Antonio Spurs,1.1879430700420883,0.16437799806536102,0.38492237712447164,0.862803646991189,0.3352061797816286,0.7221529472580537,0.14923942277270275,0.5630042327759743,0.36829122872089304,0.4725542900450004,0.22882757450016222,-0.038238354585228396,0.23364013437427622,-0.038238354585228396,0.34719562796633896,0.04871260762217022,true
05/02/2015,01:00,Milwaukee Bucks,113,105,Los Angeles Lakers,1.3007589130719301,0.7580494463076337,-0.17225052747336056,1.3115149038509912,0.4889671542562155,0.8712922376536225,0.158044172925347,0.34746144409629287,0.16282014876313644,0.08191263524080528,-0.26494444099053155,0.27488676629965775,0.0514449872340732,0.27488676629965775,0.4935458404427162,0.030251420716129795,true
05/02/2015,00:30,Boston Celtics,104,100,Denver Nuggets,-0.10502160573166108,-0.1369849573400399,-0.026069454628186772,0.2740663062839541,0.10244947207880672,0.07784497235865384,0.01408962370600203,0.018978114044187366,-0.3240100941978984,-0.46412215532715617,0.013677299430609469,0.046388825430603686,0.045628572927678857,0.046388825430603686,-0.049473326450365174,0.025376881522581385,true
05/02/2015,00:30,Atlanta Hawks,105,96,Washington Wizards,1.4895649409871377,0.284914031416277,0.25328314486850534,2.3755152355867892,0.4160437728398745,0.656035792566013,0.36944535327697847,0.8354053952190157,0.28803236195958504,0.29674967413765696,-0.023446408821687137,0.12004782157053184,0.03668917479097589,0.12004782157053184,0.024354386412719364,0.037688028543848895,true
05/02/2015,01:30,San Antonio Spurs,110,103,Orlando Magic,0.6981831003995111,0.5097869097294441,0.21047800059958632,0.8884142021207495,0.10808208275960673,0.3071283185491671,0.20239154333067466,0.45869339534624864,0.2796275681390743,0.3236198696785946,0.062474329567961395,0.06714952233329918,-0.19850243475543405,0.06714952233329918,0.01696926726649184,0.18521633845724478,true
05/02/2015,01:00,Minnesota Timberwolves,102,101,Miami Heat,1.7345682056797047,0.9984318193809001,0.695453442742247,3.159564577609352,0.7411520240830325,2.0170423420594767,-0.06320684813117128,-0.22350476226734117,0.3154710644518277,0.30964040741185594,0.42368420566881215,0.06775534856514542,0.41282852507734447,0.06775534856514542,0.4446410258202943,-0.03899237265785427,true
05/02/2015,00:00,Indiana Pacers,114,109,Detroit Pistons,1.186120054234622,0.6003900534996564,0.15103028139273222,2.5838585857021403,0.4633246852293591,1.0254376038983333,-0.04782656359030074,-0.02941420617010615,0.3072973334898459,0.26949487301090036,-0.17931825161820736,0.03559036774251573,0.4238116955747808,0.03559036774251573,0.3068147991515765,0.07637508192383174,true
