date,time,home-team,home-score,away-score,away-team,player,team,pts,ast,reb,min,fg,fga,3p,3pa,ft,fta,or,dr,pf,st,to,bs,result
29/10/2014,00:00,San Antonio Spurs,101,100,Dallas Mavericks,Ellis M.,Dallas Mavericks,26,6,4,37.216667,11,21,1,2,3,4,1,1,0,1,3,0,false
29/10/2014,00:00,San Antonio Spurs,101,100,Dallas Mavericks,Parker T.,San Antonio Spurs,23,3,3,34.833332,9,15,4,4,1,2,1,0,2,0,1,0,true
29/10/2014,00:00,San Antonio Spurs,101,100,Dallas Mavericks,Ginobili M.,San Antonio Spurs,20,6,2,27.683332,6,13,2,6,6,7,0,2,4,2,3,0,true
29/10/2014,00:00,San Antonio Spurs,101,100,Dallas Mavericks,Nowitzki D.,Dallas Mavericks,18,2,6,31.666666,7,11,0,1,4,4,2,1,4,1,1,0,false
29/10/2014,00:00,San Antonio Spurs,101,100,Dallas Mavericks,Harris D.,Dallas Mavericks,17,5,0,29.116667,6,12,2,5,3,4,0,2,1,2,1,0,false
29/10/2014,00:00,San Antonio Spurs,101,100,Dallas Mavericks,Belinelli M.,San Antonio Spurs,15,3,2,30.75,5,8,3,6,2,2,0,1,1,1,2,0,true
29/10/2014,00:00,San Antonio Spurs,101,100,Dallas Mavericks,Duncan T.,San Antonio Spurs,14,2,13,30.183332,5,10,0,0,4,5,5,1,0,1,5,2,true
29/10/2014,00:00,San Antonio Spurs,101,100,Dallas Mavericks,Green D.,San Antonio Spurs,13,1,4,34.033333,5,9,3,6,0,0,2,1,4,1,3,0,true
29/10/2014,00:00,San Antonio Spurs,101,100,Dallas Mavericks,Nelson J.,Dallas Mavericks,9,3,0,30.466667,3,7,3,5,0,0,0,1,1,1,0,1,false
29/10/2014,00:00,San Antonio Spurs,101,100,Dallas Mavericks,Chandler T.,Dallas Mavericks,8,0,10,27.75,4,8,0,0,0,0,3,2,5,2,1,0,false
29/10/2014,00:00,San Antonio Spurs,101,100,Dallas Mavericks,Joseph C.,San Antonio Spurs,7,2,1,16.7,3,4,1,2,0,0,0,0,1,0,0,0,true
29/10/2014,00:00,San Antonio Spurs,101,100,Dallas Mavericks,Jefferson R.,Dallas Mavericks,6,1,2,13.366667,1,3,1,2,3,4,1,0,2,0,1,0,false
